holiday,date,firstobs,firstproc
Creationism Day,1998-10-23,-4004,-4004
Daylight Saving Time End,1998-10-25,1916,1916
Halloween,1998-10-31,-2000,-2000
General Election Day,1998-11-03,1789,1789
Remembrance Day,1998-11-11,1918,1931
Veterans Day,1998-11-11,1918,1938
American Thanksgiving,1998-11-26,1621,1621
Black Friday,1998-11-27,1960,1960
St. Andrews Day,1998-11-30,732,732
World AIDS Day,1998-12-01,1988,1988
Human Rights Day,1998-12-10,1950,1950
Winter Solstice,1998-12-22,-10000,-10000
Christmas Eve,1998-12-24,1,1
Christmas in UK and Canada,1998-12-25,1,1
Christmas in the USA,1998-12-25,1,1
Boxing Day in UK and Canada,1998-12-26,1,1
New Year’s Eve,1998-12-31,-154,-154
New Year’s Day,1999-01-01,-153,-153
US Congressional Start Day,1999-01-03,1789,1789
Martin Luther King Day,1999-01-18,1986,1986
Robbie Burns Day aka Burns Nicht,1999-01-25,1759,1759
Australia Day,1999-01-26,1804,1804
Groundhog Day,1999-02-02,1841,1841
Valentine’s Day,1999-02-14,200,200
Presidents Day,1999-02-15,1971,1971
Alberta Family Day,1999-02-15,1900,1900
Mardi Gras,1999-02-16,1583,1583
Ash Wednesday,1999-02-17,1583,1583
Commonwealth Day,1999-03-08,1976,1976
St. Patrick’s day,1999-03-17,400,400
Vernal Equinox,1999-03-21,-10000,-10000
Palm Sunday,1999-03-28,1583,1583
April Fools’ Day,1999-04-01,1564,1564
Good Friday,1999-04-02,1583,1583
Daylight Saving Time Start,1999-04-04,1916,1916
Easter Sunday,1999-04-04,30,30
Easter Monday,1999-04-05,1583,1583
Earth Day,1999-04-22,1970,1970
ANZAC Day,1999-04-25,1915,1915
Cinco de Mayo,1999-05-05,1809,1809
Europe Day,1999-05-09,1950,1950
Mother’s Day,1999-05-09,1907,1907
Armed Forces Day,1999-05-15,1936,1950
Victoria Day,1999-05-24,1837,1845
Memorial Day,1999-05-31,1868,1868
Australian Queen’s Birthday,1999-06-14,1953,1953
Father’s Day,1999-06-20,1910,1910
Summer Solstice,1999-06-21,-10000,-10000
Aboriginal Day,1999-06-21,1990,1990
St. Jean-Baptiste Day,1999-06-24,1638,1638
Canada Day,1999-07-01,1867,1867
Independence Day,1999-07-04,1776,1776
Utah Pioneer Day,1999-07-24,1847,1847
Parents' Day,1999-07-25,1994,1994
Canada Civic Day,1999-08-02,1970,1970
Canadian Labour Day,1999-09-06,1884,1884
American Labor Day,1999-09-06,1882,1882
Grandparents Day,1999-09-13,1978,1978
Autumnal Equinox,1999-09-23,-10000,-10000
Canadian Thanksgiving,1999-10-11,1700,1700
Columbus Day,1999-10-11,1905,1905
Creationism Day,1999-10-23,-4004,-4004
Halloween,1999-10-31,-2000,-2000
Daylight Saving Time End,1999-10-31,1916,1916
Remembrance Day,1999-11-11,1918,1931
Veterans Day,1999-11-11,1918,1938
American Thanksgiving,1999-11-25,1621,1621
Black Friday,1999-11-26,1960,1960
St. Andrews Day,1999-11-30,732,732
World AIDS Day,1999-12-01,1988,1988
Human Rights Day,1999-12-10,1950,1950
Winter Solstice,1999-12-22,-10000,-10000
Christmas Eve,1999-12-24,1,1
Christmas in UK and Canada,1999-12-25,1,1
Christmas in the USA,1999-12-25,1,1
Boxing Day in UK and Canada,1999-12-26,1,1
New Year’s Eve,1999-12-31,-154,-154
New Year’s Day,2000-01-01,-153,-153
Martin Luther King Day,2000-01-17,1986,1986
Robbie Burns Day aka Burns Nicht,2000-01-25,1759,1759
Australia Day,2000-01-26,1804,1804
Groundhog Day,2000-02-02,1841,1841
Valentine’s Day,2000-02-14,200,200
Presidents Day,2000-02-21,1971,1971
Alberta Family Day,2000-02-21,1900,1900
Mardi Gras,2000-03-07,1583,1583
Ash Wednesday,2000-03-08,1583,1583
Commonwealth Day,2000-03-13,1976,1976
St. Patrick’s day,2000-03-17,400,400
Vernal Equinox,2000-03-20,-10000,-10000
April Fools’ Day,2000-04-01,1564,1564
Daylight Saving Time Start,2000-04-02,1916,1916
Palm Sunday,2000-04-16,1583,1583
Good Friday,2000-04-21,1583,1583
Earth Day,2000-04-22,1970,1970
Easter Sunday,2000-04-23,30,30
Easter Monday,2000-04-24,1583,1583
ANZAC Day,2000-04-25,1915,1915
Cinco de Mayo,2000-05-05,1809,1809
Europe Day,2000-05-09,1950,1950
Mother’s Day,2000-05-14,1907,1907
Armed Forces Day,2000-05-20,1936,1950
Victoria Day,2000-05-22,1837,1845
Memorial Day,2000-05-29,1868,1868
Australian Queen’s Birthday,2000-06-12,1953,1953
Father’s Day,2000-06-18,1910,1910
Summer Solstice,2000-06-21,-10000,-10000
Aboriginal Day,2000-06-21,1990,1990
St. Jean-Baptiste Day,2000-06-24,1638,1638
Canada Day,2000-07-01,1867,1867
Independence Day,2000-07-04,1776,1776
Parents' Day,2000-07-23,1994,1994
Utah Pioneer Day,2000-07-24,1847,1847
Canada Civic Day,2000-08-07,1970,1970
Canadian Labour Day,2000-09-04,1884,1884
American Labor Day,2000-09-04,1882,1882
Grandparents Day,2000-09-11,1978,1978
Autumnal Equinox,2000-09-22,-10000,-10000
Canadian Thanksgiving,2000-10-09,1700,1700
Columbus Day,2000-10-09,1905,1905
Creationism Day,2000-10-23,-4004,-4004
Daylight Saving Time End,2000-10-29,1916,1916
Halloween,2000-10-31,-2000,-2000
General Election Day,2000-11-07,1789,1789
Remembrance Day,2000-11-11,1918,1931
Veterans Day,2000-11-11,1918,1938
American Thanksgiving,2000-11-23,1621,1621
Black Friday,2000-11-24,1960,1960
St. Andrews Day,2000-11-30,732,732
World AIDS Day,2000-12-01,1988,1988
Human Rights Day,2000-12-10,1950,1950
Winter Solstice,2000-12-21,-10000,-10000
Christmas Eve,2000-12-24,1,1
Christmas in UK and Canada,2000-12-25,1,1
Christmas in the USA,2000-12-25,1,1
Boxing Day in UK and Canada,2000-12-26,1,1
New Year’s Eve,2000-12-31,-154,-154
New Year’s Day,2001-01-01,-153,-153
US Congressional Start Day,2001-01-03,1789,1789
Martin Luther King Day,2001-01-15,1986,1986
US Presidential Inauguration Day,2001-01-20,1789,1789
Robbie Burns Day aka Burns Nicht,2001-01-25,1759,1759
Australia Day,2001-01-26,1804,1804
Groundhog Day,2001-02-02,1841,1841
Valentine’s Day,2001-02-14,200,200
Presidents Day,2001-02-19,1971,1971
Alberta Family Day,2001-02-19,1900,1900
Mardi Gras,2001-02-27,1583,1583
Ash Wednesday,2001-02-28,1583,1583
Commonwealth Day,2001-03-12,1976,1976
St. Patrick’s day,2001-03-17,400,400
Vernal Equinox,2001-03-20,-10000,-10000
Daylight Saving Time Start,2001-04-01,1916,1916
April Fools’ Day,2001-04-01,1564,1564
Palm Sunday,2001-04-08,1583,1583
Good Friday,2001-04-13,1583,1583
Easter Sunday,2001-04-15,30,30
Easter Monday,2001-04-16,1583,1583
Earth Day,2001-04-22,1970,1970
ANZAC Day,2001-04-25,1915,1915
Cinco de Mayo,2001-05-05,1809,1809
Europe Day,2001-05-09,1950,1950
Mother’s Day,2001-05-13,1907,1907
Armed Forces Day,2001-05-19,1936,1950
Victoria Day,2001-05-21,1837,1845
Memorial Day,2001-05-28,1868,1868
Australian Queen’s Birthday,2001-06-11,1953,1953
Father’s Day,2001-06-17,1910,1910
Summer Solstice,2001-06-21,-10000,-10000
Aboriginal Day,2001-06-21,1990,1990
St. Jean-Baptiste Day,2001-06-24,1638,1638
Canada Day,2001-07-02,1867,1867
Independence Day,2001-07-04,1776,1776
Parents' Day,2001-07-22,1994,1994
Utah Pioneer Day,2001-07-24,1847,1847
Canada Civic Day,2001-08-06,1970,1970
Canadian Labour Day,2001-09-03,1884,1884
American Labor Day,2001-09-03,1882,1882
Grandparents Day,2001-09-10,1978,1978
Autumnal Equinox,2001-09-22,-10000,-10000
Canadian Thanksgiving,2001-10-08,1700,1700
Columbus Day,2001-10-08,1905,1905
Creationism Day,2001-10-23,-4004,-4004
Daylight Saving Time End,2001-10-28,1916,1916
Halloween,2001-10-31,-2000,-2000
Remembrance Day,2001-11-11,1918,1931
Veterans Day,2001-11-11,1918,1938
American Thanksgiving,2001-11-22,1621,1621
Black Friday,2001-11-23,1960,1960
St. Andrews Day,2001-11-30,732,732
World AIDS Day,2001-12-01,1988,1988
Human Rights Day,2001-12-10,1950,1950
Winter Solstice,2001-12-21,-10000,-10000
Christmas Eve,2001-12-24,1,1
Christmas in UK and Canada,2001-12-25,1,1
Christmas in the USA,2001-12-25,1,1
Boxing Day in UK and Canada,2001-12-26,1,1
New Year’s Eve,2001-12-31,-154,-154
New Year’s Day,2002-01-01,-153,-153
Martin Luther King Day,2002-01-21,1986,1986
Robbie Burns Day aka Burns Nicht,2002-01-25,1759,1759
Australia Day,2002-01-26,1804,1804
Groundhog Day,2002-02-02,1841,1841
Mardi Gras,2002-02-12,1583,1583
Ash Wednesday,2002-02-13,1583,1583
Valentine’s Day,2002-02-14,200,200
Presidents Day,2002-02-18,1971,1971
Alberta Family Day,2002-02-18,1900,1900
Commonwealth Day,2002-03-11,1976,1976
St. Patrick’s day,2002-03-17,400,400
Vernal Equinox,2002-03-20,-10000,-10000
Palm Sunday,2002-03-24,1583,1583
Good Friday,2002-03-29,1583,1583
Easter Sunday,2002-03-31,30,30
April Fools’ Day,2002-04-01,1564,1564
Easter Monday,2002-04-01,1583,1583
Daylight Saving Time Start,2002-04-07,1916,1916
Earth Day,2002-04-22,1970,1970
ANZAC Day,2002-04-25,1915,1915
Cinco de Mayo,2002-05-05,1809,1809
Europe Day,2002-05-09,1950,1950
Mother’s Day,2002-05-12,1907,1907
Armed Forces Day,2002-05-18,1936,1950
Victoria Day,2002-05-20,1837,1845
Memorial Day,2002-05-27,1868,1868
Australian Queen’s Birthday,2002-06-10,1953,1953
Father’s Day,2002-06-16,1910,1910
Summer Solstice,2002-06-21,-10000,-10000
Aboriginal Day,2002-06-21,1990,1990
St. Jean-Baptiste Day,2002-06-24,1638,1638
Canada Day,2002-07-01,1867,1867
Independence Day,2002-07-04,1776,1776
Utah Pioneer Day,2002-07-24,1847,1847
Parents' Day,2002-07-28,1994,1994
Canada Civic Day,2002-08-05,1970,1970
Canadian Labour Day,2002-09-02,1884,1884
American Labor Day,2002-09-02,1882,1882
Grandparents Day,2002-09-09,1978,1978
Autumnal Equinox,2002-09-23,-10000,-10000
Canadian Thanksgiving,2002-10-14,1700,1700
Columbus Day,2002-10-14,1905,1905
Creationism Day,2002-10-23,-4004,-4004
Daylight Saving Time End,2002-10-27,1916,1916
Halloween,2002-10-31,-2000,-2000
General Election Day,2002-11-05,1789,1789
Remembrance Day,2002-11-11,1918,1931
Veterans Day,2002-11-11,1918,1938
American Thanksgiving,2002-11-28,1621,1621
Black Friday,2002-11-29,1960,1960
St. Andrews Day,2002-11-30,732,732
World AIDS Day,2002-12-01,1988,1988
Human Rights Day,2002-12-10,1950,1950
Winter Solstice,2002-12-22,-10000,-10000
Christmas Eve,2002-12-24,1,1
Christmas in UK and Canada,2002-12-25,1,1
Christmas in the USA,2002-12-25,1,1
Boxing Day in UK and Canada,2002-12-26,1,1
New Year’s Eve,2002-12-31,-154,-154
New Year’s Day,2003-01-01,-153,-153
US Congressional Start Day,2003-01-03,1789,1789
Martin Luther King Day,2003-01-20,1986,1986
Robbie Burns Day aka Burns Nicht,2003-01-25,1759,1759
Australia Day,2003-01-26,1804,1804
Groundhog Day,2003-02-02,1841,1841
Valentine’s Day,2003-02-14,200,200
Presidents Day,2003-02-17,1971,1971
Alberta Family Day,2003-02-17,1900,1900
Mardi Gras,2003-03-04,1583,1583
Ash Wednesday,2003-03-05,1583,1583
Commonwealth Day,2003-03-10,1976,1976
St. Patrick’s day,2003-03-17,400,400
Vernal Equinox,2003-03-21,-10000,-10000
April Fools’ Day,2003-04-01,1564,1564
Daylight Saving Time Start,2003-04-06,1916,1916
Palm Sunday,2003-04-13,1583,1583
Good Friday,2003-04-18,1583,1583
Easter Sunday,2003-04-20,30,30
Easter Monday,2003-04-21,1583,1583
Earth Day,2003-04-22,1970,1970
ANZAC Day,2003-04-25,1915,1915
Cinco de Mayo,2003-05-05,1809,1809
Europe Day,2003-05-09,1950,1950
Mother’s Day,2003-05-11,1907,1907
Armed Forces Day,2003-05-17,1936,1950
Victoria Day,2003-05-19,1837,1845
Memorial Day,2003-05-26,1868,1868
Australian Queen’s Birthday,2003-06-09,1953,1953
Father’s Day,2003-06-15,1910,1910
Summer Solstice,2003-06-21,-10000,-10000
Aboriginal Day,2003-06-21,1990,1990
St. Jean-Baptiste Day,2003-06-24,1638,1638
Canada Day,2003-07-01,1867,1867
Independence Day,2003-07-04,1776,1776
Utah Pioneer Day,2003-07-24,1847,1847
Parents' Day,2003-07-27,1994,1994
Canada Civic Day,2003-08-04,1970,1970
Canadian Labour Day,2003-09-01,1884,1884
American Labor Day,2003-09-01,1882,1882
Grandparents Day,2003-09-08,1978,1978
Autumnal Equinox,2003-09-23,-10000,-10000
Canadian Thanksgiving,2003-10-13,1700,1700
Columbus Day,2003-10-13,1905,1905
Creationism Day,2003-10-23,-4004,-4004
Daylight Saving Time End,2003-10-26,1916,1916
Halloween,2003-10-31,-2000,-2000
Remembrance Day,2003-11-11,1918,1931
Veterans Day,2003-11-11,1918,1938
American Thanksgiving,2003-11-27,1621,1621
Black Friday,2003-11-28,1960,1960
St. Andrews Day,2003-11-30,732,732
World AIDS Day,2003-12-01,1988,1988
Human Rights Day,2003-12-10,1950,1950
Winter Solstice,2003-12-22,-10000,-10000
Christmas Eve,2003-12-24,1,1
Christmas in UK and Canada,2003-12-25,1,1
Christmas in the USA,2003-12-25,1,1
Boxing Day in UK and Canada,2003-12-26,1,1
New Year’s Eve,2003-12-31,-154,-154
New Year’s Day,2004-01-01,-153,-153
Martin Luther King Day,2004-01-19,1986,1986
Robbie Burns Day aka Burns Nicht,2004-01-25,1759,1759
Australia Day,2004-01-26,1804,1804
Groundhog Day,2004-02-02,1841,1841
Valentine’s Day,2004-02-14,200,200
Presidents Day,2004-02-16,1971,1971
Alberta Family Day,2004-02-16,1900,1900
Mardi Gras,2004-02-24,1583,1583
Ash Wednesday,2004-02-25,1583,1583
Commonwealth Day,2004-03-08,1976,1976
St. Patrick’s day,2004-03-17,400,400
Vernal Equinox,2004-03-20,-10000,-10000
April Fools’ Day,2004-04-01,1564,1564
Daylight Saving Time Start,2004-04-04,1916,1916
Palm Sunday,2004-04-04,1583,1583
Good Friday,2004-04-09,1583,1583
Easter Sunday,2004-04-11,30,30
Easter Monday,2004-04-12,1583,1583
Earth Day,2004-04-22,1970,1970
ANZAC Day,2004-04-25,1915,1915
Cinco de Mayo,2004-05-05,1809,1809
Europe Day,2004-05-09,1950,1950
Mother’s Day,2004-05-09,1907,1907
Armed Forces Day,2004-05-15,1936,1950
Victoria Day,2004-05-24,1837,1845
Memorial Day,2004-05-31,1868,1868
Australian Queen’s Birthday,2004-06-14,1953,1953
Father’s Day,2004-06-20,1910,1910
Summer Solstice,2004-06-21,-10000,-10000
Aboriginal Day,2004-06-21,1990,1990
St. Jean-Baptiste Day,2004-06-24,1638,1638
Canada Day,2004-07-01,1867,1867
Independence Day,2004-07-04,1776,1776
Utah Pioneer Day,2004-07-24,1847,1847
Parents' Day,2004-07-25,1994,1994
Canada Civic Day,2004-08-02,1970,1970
Canadian Labour Day,2004-09-06,1884,1884
American Labor Day,2004-09-06,1882,1882
Grandparents Day,2004-09-13,1978,1978
Autumnal Equinox,2004-09-22,-10000,-10000
Canadian Thanksgiving,2004-10-11,1700,1700
Columbus Day,2004-10-11,1905,1905
Creationism Day,2004-10-23,-4004,-4004
Halloween,2004-10-31,-2000,-2000
Daylight Saving Time End,2004-10-31,1916,1916
General Election Day,2004-11-02,1789,1789
Remembrance Day,2004-11-11,1918,1931
Veterans Day,2004-11-11,1918,1938
American Thanksgiving,2004-11-25,1621,1621
Black Friday,2004-11-26,1960,1960
St. Andrews Day,2004-11-30,732,732
World AIDS Day,2004-12-01,1988,1988
Human Rights Day,2004-12-10,1950,1950
Winter Solstice,2004-12-21,-10000,-10000
Christmas Eve,2004-12-24,1,1
Christmas in UK and Canada,2004-12-25,1,1
Christmas in the USA,2004-12-25,1,1
Boxing Day in UK and Canada,2004-12-26,1,1
New Year’s Eve,2004-12-31,-154,-154
New Year’s Day,2005-01-01,-153,-153
US Congressional Start Day,2005-01-03,1789,1789
Martin Luther King Day,2005-01-17,1986,1986
US Presidential Inauguration Day,2005-01-20,1789,1789
Robbie Burns Day aka Burns Nicht,2005-01-25,1759,1759
Australia Day,2005-01-26,1804,1804
Groundhog Day,2005-02-02,1841,1841
Mardi Gras,2005-02-08,1583,1583
Ash Wednesday,2005-02-09,1583,1583
Valentine’s Day,2005-02-14,200,200
Presidents Day,2005-02-21,1971,1971
Alberta Family Day,2005-02-21,1900,1900
Commonwealth Day,2005-03-14,1976,1976
St. Patrick’s day,2005-03-17,400,400
Vernal Equinox,2005-03-20,-10000,-10000
Palm Sunday,2005-03-20,1583,1583
Good Friday,2005-03-25,1583,1583
Easter Sunday,2005-03-27,30,30
Easter Monday,2005-03-28,1583,1583
April Fools’ Day,2005-04-01,1564,1564
Daylight Saving Time Start,2005-04-03,1916,1916
Earth Day,2005-04-22,1970,1970
ANZAC Day,2005-04-25,1915,1915
Cinco de Mayo,2005-05-05,1809,1809
Mother’s Day,2005-05-08,1907,1907
Europe Day,2005-05-09,1950,1950
Armed Forces Day,2005-05-21,1936,1950
Victoria Day,2005-05-23,1837,1845
Memorial Day,2005-05-30,1868,1868
Australian Queen’s Birthday,2005-06-13,1953,1953
Father’s Day,2005-06-19,1910,1910
Summer Solstice,2005-06-21,-10000,-10000
Aboriginal Day,2005-06-21,1990,1990
St. Jean-Baptiste Day,2005-06-24,1638,1638
Canada Day,2005-07-01,1867,1867
Independence Day,2005-07-04,1776,1776
Utah Pioneer Day,2005-07-24,1847,1847
Parents' Day,2005-07-24,1994,1994
Canada Civic Day,2005-08-01,1970,1970
Canadian Labour Day,2005-09-05,1884,1884
American Labor Day,2005-09-05,1882,1882
Grandparents Day,2005-09-12,1978,1978
Autumnal Equinox,2005-09-22,-10000,-10000
Canadian Thanksgiving,2005-10-10,1700,1700
Columbus Day,2005-10-10,1905,1905
Creationism Day,2005-10-23,-4004,-4004
Daylight Saving Time End,2005-10-30,1916,1916
Halloween,2005-10-31,-2000,-2000
Remembrance Day,2005-11-11,1918,1931
Veterans Day,2005-11-11,1918,1938
American Thanksgiving,2005-11-24,1621,1621
Black Friday,2005-11-25,1960,1960
St. Andrews Day,2005-11-30,732,732
World AIDS Day,2005-12-01,1988,1988
Human Rights Day,2005-12-10,1950,1950
Winter Solstice,2005-12-21,-10000,-10000
Christmas Eve,2005-12-24,1,1
Christmas in UK and Canada,2005-12-25,1,1
Christmas in the USA,2005-12-25,1,1
Boxing Day in UK and Canada,2005-12-26,1,1
New Year’s Eve,2005-12-31,-154,-154
New Year’s Day,2006-01-01,-153,-153
Martin Luther King Day,2006-01-16,1986,1986
Robbie Burns Day aka Burns Nicht,2006-01-25,1759,1759
Australia Day,2006-01-26,1804,1804
Groundhog Day,2006-02-02,1841,1841
Valentine’s Day,2006-02-14,200,200
Presidents Day,2006-02-20,1971,1971
Alberta Family Day,2006-02-20,1900,1900
Mardi Gras,2006-02-28,1583,1583
Ash Wednesday,2006-03-01,1583,1583
Commonwealth Day,2006-03-13,1976,1976
St. Patrick’s day,2006-03-17,400,400
Vernal Equinox,2006-03-20,-10000,-10000
April Fools’ Day,2006-04-01,1564,1564
Daylight Saving Time Start,2006-04-02,1916,1916
Palm Sunday,2006-04-09,1583,1583
Good Friday,2006-04-14,1583,1583
Easter Sunday,2006-04-16,30,30
Easter Monday,2006-04-17,1583,1583
Earth Day,2006-04-22,1970,1970
ANZAC Day,2006-04-25,1915,1915
Cinco de Mayo,2006-05-05,1809,1809
Europe Day,2006-05-09,1950,1950
Mother’s Day,2006-05-14,1907,1907
Armed Forces Day,2006-05-20,1936,1950
Victoria Day,2006-05-22,1837,1845
Memorial Day,2006-05-29,1868,1868
Australian Queen’s Birthday,2006-06-12,1953,1953
Father’s Day,2006-06-18,1910,1910
Summer Solstice,2006-06-21,-10000,-10000
Aboriginal Day,2006-06-21,1990,1990
St. Jean-Baptiste Day,2006-06-24,1638,1638
Canada Day,2006-07-01,1867,1867
Independence Day,2006-07-04,1776,1776
Parents' Day,2006-07-23,1994,1994
Utah Pioneer Day,2006-07-24,1847,1847
Canada Civic Day,2006-08-07,1970,1970
Canadian Labour Day,2006-09-04,1884,1884
American Labor Day,2006-09-04,1882,1882
Grandparents Day,2006-09-11,1978,1978
Autumnal Equinox,2006-09-23,-10000,-10000
Canadian Thanksgiving,2006-10-09,1700,1700
Columbus Day,2006-10-09,1905,1905
Creationism Day,2006-10-23,-4004,-4004
Daylight Saving Time End,2006-10-29,1916,1916
Halloween,2006-10-31,-2000,-2000
General Election Day,2006-11-07,1789,1789
Remembrance Day,2006-11-11,1918,1931
Veterans Day,2006-11-11,1918,1938
American Thanksgiving,2006-11-23,1621,1621
Black Friday,2006-11-24,1960,1960
St. Andrews Day,2006-11-30,732,732
World AIDS Day,2006-12-01,1988,1988
Human Rights Day,2006-12-10,1950,1950
Winter Solstice,2006-12-22,-10000,-10000
Christmas Eve,2006-12-24,1,1
Christmas in UK and Canada,2006-12-25,1,1
Christmas in the USA,2006-12-25,1,1
Boxing Day in UK and Canada,2006-12-26,1,1
New Year’s Eve,2006-12-31,-154,-154
New Year’s Day,2007-01-01,-153,-153
US Congressional Start Day,2007-01-03,1789,1789
Martin Luther King Day,2007-01-15,1986,1986
Robbie Burns Day aka Burns Nicht,2007-01-25,1759,1759
Australia Day,2007-01-26,1804,1804
Groundhog Day,2007-02-02,1841,1841
Valentine’s Day,2007-02-14,200,200
Presidents Day,2007-02-19,1971,1971
Alberta Family Day,2007-02-19,1900,1900
Mardi Gras,2007-02-20,1583,1583
Ash Wednesday,2007-02-21,1583,1583
Daylight Saving Time Start,2007-03-11,1916,1916
Commonwealth Day,2007-03-12,1976,1976
St. Patrick’s day,2007-03-17,400,400
Vernal Equinox,2007-03-21,-10000,-10000
Earth Hour,2007-03-31,2007,2007
Palm Sunday,2007-04-01,1583,1583
April Fools’ Day,2007-04-01,1564,1564
Good Friday,2007-04-06,1583,1583
Easter Sunday,2007-04-08,30,30
Easter Monday,2007-04-09,1583,1583
Earth Day,2007-04-22,1970,1970
ANZAC Day,2007-04-25,1915,1915
Cinco de Mayo,2007-05-05,1809,1809
Europe Day,2007-05-09,1950,1950
Mother’s Day,2007-05-13,1907,1907
Armed Forces Day,2007-05-19,1936,1950
Victoria Day,2007-05-21,1837,1845
Memorial Day,2007-05-28,1868,1868
Australian Queen’s Birthday,2007-06-11,1953,1953
Father’s Day,2007-06-17,1910,1910
Summer Solstice,2007-06-21,-10000,-10000
Aboriginal Day,2007-06-21,1990,1990
St. Jean-Baptiste Day,2007-06-24,1638,1638
Canada Day,2007-07-02,1867,1867
Independence Day,2007-07-04,1776,1776
Parents' Day,2007-07-22,1994,1994
Utah Pioneer Day,2007-07-24,1847,1847
Canada Civic Day,2007-08-06,1970,1970
Canadian Labour Day,2007-09-03,1884,1884
American Labor Day,2007-09-03,1882,1882
Grandparents Day,2007-09-10,1978,1978
Autumnal Equinox,2007-09-23,-10000,-10000
Canadian Thanksgiving,2007-10-08,1700,1700
Columbus Day,2007-10-08,1905,1905
Creationism Day,2007-10-23,-4004,-4004
Halloween,2007-10-31,-2000,-2000
Daylight Saving Time End,2007-11-04,1916,1916
Remembrance Day,2007-11-11,1918,1931
Veterans Day,2007-11-11,1918,1938
American Thanksgiving,2007-11-22,1621,1621
Black Friday,2007-11-23,1960,1960
St. Andrews Day,2007-11-30,732,732
World AIDS Day,2007-12-01,1988,1988
Human Rights Day,2007-12-10,1950,1950
Winter Solstice,2007-12-22,-10000,-10000
Christmas Eve,2007-12-24,1,1
Christmas in UK and Canada,2007-12-25,1,1
Christmas in the USA,2007-12-25,1,1
Boxing Day in UK and Canada,2007-12-26,1,1
New Year’s Eve,2007-12-31,-154,-154
New Year’s Day,2008-01-01,-153,-153
Martin Luther King Day,2008-01-21,1986,1986
Robbie Burns Day aka Burns Nicht,2008-01-25,1759,1759
Australia Day,2008-01-26,1804,1804
Groundhog Day,2008-02-02,1841,1841
Mardi Gras,2008-02-05,1583,1583
Ash Wednesday,2008-02-06,1583,1583
Valentine’s Day,2008-02-14,200,200
Presidents Day,2008-02-18,1971,1971
Alberta Family Day,2008-02-18,1900,1900
Daylight Saving Time Start,2008-03-09,1916,1916
Commonwealth Day,2008-03-10,1976,1976
Palm Sunday,2008-03-16,1583,1583
St. Patrick’s day,2008-03-17,400,400
Vernal Equinox,2008-03-20,-10000,-10000
Good Friday,2008-03-21,1583,1583
Easter Sunday,2008-03-23,30,30
Easter Monday,2008-03-24,1583,1583
Earth Hour,2008-03-29,2007,2007
April Fools’ Day,2008-04-01,1564,1564
Earth Day,2008-04-22,1970,1970
ANZAC Day,2008-04-25,1915,1915
Cinco de Mayo,2008-05-05,1809,1809
Europe Day,2008-05-09,1950,1950
Mother’s Day,2008-05-11,1907,1907
Armed Forces Day,2008-05-17,1936,1950
Victoria Day,2008-05-19,1837,1845
Memorial Day,2008-05-26,1868,1868
Australian Queen’s Birthday,2008-06-09,1953,1953
Father’s Day,2008-06-15,1910,1910
Summer Solstice,2008-06-21,-10000,-10000
Aboriginal Day,2008-06-21,1990,1990
St. Jean-Baptiste Day,2008-06-24,1638,1638
Canada Day,2008-07-01,1867,1867
Independence Day,2008-07-04,1776,1776
Utah Pioneer Day,2008-07-24,1847,1847
Parents' Day,2008-07-27,1994,1994
Canada Civic Day,2008-08-04,1970,1970
Canadian Labour Day,2008-09-01,1884,1884
American Labor Day,2008-09-01,1882,1882
Grandparents Day,2008-09-08,1978,1978
Autumnal Equinox,2008-09-22,-10000,-10000
Canadian Thanksgiving,2008-10-13,1700,1700
Columbus Day,2008-10-13,1905,1905
Creationism Day,2008-10-23,-4004,-4004
Halloween,2008-10-31,-2000,-2000
Daylight Saving Time End,2008-11-02,1916,1916
General Election Day,2008-11-04,1789,1789
Remembrance Day,2008-11-11,1918,1931
Veterans Day,2008-11-11,1918,1938
American Thanksgiving,2008-11-27,1621,1621
Black Friday,2008-11-28,1960,1960
St. Andrews Day,2008-11-30,732,732
World AIDS Day,2008-12-01,1988,1988
Human Rights Day,2008-12-10,1950,1950
Winter Solstice,2008-12-21,-10000,-10000
Christmas Eve,2008-12-24,1,1
Christmas in UK and Canada,2008-12-25,1,1
Christmas in the USA,2008-12-25,1,1
Boxing Day in UK and Canada,2008-12-26,1,1
New Year’s Eve,2008-12-31,-154,-154
New Year’s Day,2009-01-01,-153,-153
US Congressional Start Day,2009-01-03,1789,1789
Martin Luther King Day,2009-01-19,1986,1986
US Presidential Inauguration Day,2009-01-20,1789,1789
Robbie Burns Day aka Burns Nicht,2009-01-25,1759,1759
Australia Day,2009-01-26,1804,1804
Groundhog Day,2009-02-02,1841,1841
Valentine’s Day,2009-02-14,200,200
Presidents Day,2009-02-16,1971,1971
Alberta Family Day,2009-02-16,1900,1900
Mardi Gras,2009-02-24,1583,1583
Ash Wednesday,2009-02-25,1583,1583
Daylight Saving Time Start,2009-03-08,1916,1916
Commonwealth Day,2009-03-09,1976,1976
St. Patrick’s day,2009-03-17,400,400
Vernal Equinox,2009-03-20,-10000,-10000
Earth Hour,2009-03-28,2007,2007
April Fools’ Day,2009-04-01,1564,1564
Palm Sunday,2009-04-05,1583,1583
Good Friday,2009-04-10,1583,1583
Easter Sunday,2009-04-12,30,30
Easter Monday,2009-04-13,1583,1583
Earth Day,2009-04-22,1970,1970
ANZAC Day,2009-04-25,1915,1915
Cinco de Mayo,2009-05-05,1809,1809
